Card Title,Property Type,Location,Price_numeric,Area_sqft,Bedrooms,Bathrooms,Parking Spaces,Floors,Year,Furnished,Servant Quarters,Dining Room,Kitchens,Study Room,Prayer Room,Gym,Store Rooms,Lounge or Sitting Room,Laundry Room,Community Lawn or Garden,Community Gym,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Security Staff,Kids Play Area,Community Swimming Pool,Mosque
1 Kanal Spanish House for Sale in DHA Phase 6 Block C,House,"DHA Phase 6 - Block C, DHA Phase 6",79900000.0,5445.0,,,,,2025.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
20 MARLA VICTORIAN DESIGN BUNGALOW FOR SALE 100FIT ROAD NEAR DOLMEN MALL DHA LAHORE,House,"DHA Phase 6, DHA Defence",75000000.0,5445.0,5.0,6.0,4.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Gass Meter Installed 1 Kanal Slightly Use House For Sale In Lake City Raiwind Road Lahore,House,"Lake City, Raiwind Road",80000000.0,5445.0,6.0,7.0,,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
01 KANAL AESTHETICALLY DESIGNED HOUSE FOR SALE IN DHA PHASE 5,House,"DHA Phase 5, DHA Defence",81700000.0,5445.0,5.0,6.0,4.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3 KANAL CORNER OWNER BUILD MODERN BUNGALOW FOR SALE PHASE 6,House,"DHA Phase 6, DHA Defence",430000000.0,16335.0,5.0,6.0,6.0,2.0,2025.0,Yes,2,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5 Marla Brand New Spanish House For Sale In Banker Avenue Co-Operative Housing Society,House,"Bankers Avenue Cooperative Housing Society, Lahore",17500000.0,1361.25,4.0,4.0,1.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
BANKERS AVENUE 1 KANAL GREY STRUCTURE 6 BEDS HOUSE FOR SALE,House,"Bankers Avenue Cooperative Housing Society, Lahore",38500000.0,5445.0,6.0,7.0,3.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Own a Branded 4-Star Hotel Apartment in Gulberg, Lahore!",Flat,"Gulberg 3, Gulberg",8500000.0,490.05,1.0,1.0,,,2025.0,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10-Marla Luxury Bungalow For Sale Location Compromised For this Price {More Options Available },House,"DHA Phase 7, DHA Defence",39900000.0,2722.5,4.0,5.0,2.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 Marla Like Brand New Luxury House For Sale In Bahria Town Lahore.,House,"Bahria Town - Sector C, Bahria Town",33500000.0,2722.5,5.0,6.0,,,2025.0,No,1,Yes,2,Yes,Yes,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No
Main Gulberg 9 Kanal Off Main Boulevard,House,"Main Boulevard Gulberg, Gulberg",1.0,49005.0,10.0,12.0,,2.0,2025.0,Yes,4,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
15% Guaranteed Rental Income Available On Hotel Apartment For Sale,Flat,"Indigo Heights, Gulberg 3",4200000.0,435.6,1.0,1.0,,,2025.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 Marla Brand-New Stylish Bungalow in DHA Phase 5 Lahore,House,"DHA Phase 5, DHA Defence",50000000.0,2722.5,4.0,5.0,2.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Your Dream Home Is Here! Fully Furnished, Most Luxurious, Most Stunning Modern Bungalow For Sale At Super Hot Location Near Raya Golf Club &; McDonald'",House,"DHA Phase 6 - Block M, DHA Phase 6",85500000.0,6534.0,6.0,6.0,4.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Spacious 12 Marla 4-Bed Flat With Open View For Sale On Ground Floor, Askari 11 Lahore",Flat,"Askari 11, Askari",34800000.0,3267.0,4.0,5.0,1.0,,2025.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ready To Buy Good Location 12 Marla Flat on 7th Floor In Askari 11 - Sector B Lahore,Flat,"Askari 11, Askari",30000000.0,3267.0,4.0,5.0,1.0,,2025.0,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"10 Marla Hot Location 4 Bed House for Sale in DHA Phase 6, Lahore",House,"DHA Phase 6, DHA Defence",47000000.0,2722.5,4.0,4.0,2.0,2.0,2025.0,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"10 Marla 4 Bed House with Basement & 16 KVA Solar Panel for Sale in DHA Phase 5, Lahore",House,"DHA Phase 5, DHA Defence",57500000.0,2722.5,4.0,4.0,2.0,2.0,2025.0,No,1,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
20 Marla House In Lake City Meadows Phase 1 - Block A,House,"Lake City Meadows Phase 1 - Block A, Lake City Meadows Phase 1",65000000.0,5445.0,5.0,6.0,4.0,,2025.0,No,2,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
DHA Phase 7 - Block s 20 Marla House Up For sale,House,"DHA Phase 7 - Block S, DHA Phase 7",64200000.0,5445.0,,,,,2025.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2 Kanal Brand New Luxury Ultra-Modern Design Most Beautiful Fully Furnished Home Theater Bungalow For Sale At Prime Location Of DHA Lahore Near To Park Masjid & DHA Raya Golf Course,House,"DHA Phase 6 - Block L, DHA Phase 6",255000000.0,10890.0,6.0,7.0,6.0,,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1-Kanal Modern Fully Furnished House In DHA Phase 7 Hot Location,House,"DHA Phase 7, DHA Defence",70000000.0,5445.0,5.0,6.0,,,2025.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"A House Of 40 Marla In DHA, Brand New Full Furnished Swimming Pool Home Theater Lift Facinh 150 Feet Road Very Nice Location",House,"DHA Defence, Lahore",375000000.0,10890.0,6.0,7.0,6.0,,2025.0,Yes,02,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 Kanal Luxury House For Sale in DHA Phase 6,House,"DHA Phase 6 - Block B, DHA Phase 6",90000000.0,5445.0,5.0,5.0,,,2025.0,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
2 Kanal Brand New First Entry Spanish Style Facing Road 100 Feet For Sale Available In Valencia Housing Society Lahore,House,"Valencia Housing Society, Lahore",175000000.0,10890.0,6.0,7.0,6.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 Kanal Brand New First Entry House For Sale Available In Valencia Housing Society Lahore,House,"Valencia Housing Society, Lahore",82500000.0,5445.0,5.0,6.0,3.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 Kanal Brand New First Entry Stylist House For Sale Available In Valencia Housing Society Lahore,House,"Valencia Housing Society, Lahore",82500000.0,5445.0,5.0,6.0,3.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
22 Marla Corner Lavish House For Sale Available In Valencia Housing Society Lahore,House,"Valencia Housing Society, Lahore",100000000.0,5989.500000000001,6.0,7.0,3.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Brand New 1 Kanal Luxury House For Sale Modern Elegance With Stunning Lawn,House,"DHA Phase 7, DHA Defence",69000000.0,5445.0,5.0,6.0,25.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Brand New 1-Kanal House For Sale In DHA Phase 7 - Block Y - Ready To Move,House,"DHA Phase 7 - Block Y, DHA Phase 7",76500000.0,5445.0,5.0,6.0,,2.0,2025.0,No,2,Yes,2,No,No,No,1,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No
BRAND NEW SPANISH DESIGNED HOUSE FOR BIG FAMILY,House,"DHA Phase 6 - Block C, DHA Phase 6",155000000.0,5445.0,9.0,7.0,,2.0,2025.0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
"3 Marla Single Storey House For Sale Affordable Price, Lahore",House,"Ferozepur Road, Lahore",5000000.0,816.75,2.0,3.0,,,2025.0,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3 Years Installments Plan 5 Marla Brand New House For Sale In Lake City Lahore,House,"Lake City, Raiwind Road",22000000.0,1361.25,4.0,5.0,4.0,3.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"5 Marla Double Storey House for Sale Green Cap Housing Society, Direct Approach Ferozepur Road Lahore",House,"Ferozepur Road, Lahore",13000000.0,1361.25,3.0,4.0,1.0,2.0,2025.0,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5 Marla Brand New Tile Flooring Top Location House For Sale In Punjab coop housing society Near DHA Phase 4 LHR,House,"Punjab Coop Housing - Block D, Punjab Coop Housing Society",32000000.0,1361.25,3.0,4.0,1.0,,2025.0,No,No,Yes,2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Al Rehman Garden Phase 2 Block J 5-Marla House for Sale,House,"Al Rehman Phase 2 - Block J, Al Rehman Garden Phase 2",19000000.0,1361.25,5.0,4.0,1.0,2.0,2025.0,Yes,16,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Kanal Brand New Ultra Modern Designer Bungalow At The Ideal Location Of DHA Phase 6,House,"DHA Phase 6 - Block J, DHA Phase 6",90500000.0,5445.0,5.0,6.0,5.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
ORIGNIAL PICS SPANISH DESIGN BRAND NEW HOUSE FOR SALE NEAR PARK,House,"DHA Phase 7 - Block Q, DHA Phase 7",87500000.0,5445.0,6.0,6.0,3.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2 Kanal Fully Furnished Wing Chair Faisal Rasul Design Classical Bungalow For Sale In Phase 6,House,"DHA Phase 6, DHA Defence",285000000.0,10890.0,6.0,10.0,6.0,3.0,2025.0,Yes,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10Marla Modern Design House Available For Sale,House,"Central Park Housing Scheme, Lahore",29800000.0,2722.5,3.0,4.0,3.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Last One Cheapest Price 2-Kanal Fully Furnished Modern Design bungalow One kanal Lawn One Kanal Bungalow For Sale Near Rayay Fair Ways & Mosque,House,"DHA Phase 6, DHA Defence",229899999.99999997,10890.0,6.0,7.0,4.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 Marla Ground Floor Apartment For Sale In Askari 5 25-A Prime Location With Servant Quarter & Garage,Flat,"Askari 5, Askari",39000000.0,2722.5,3.0,4.0,2.0,,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 Kanal Brand New Stylish House For Sale Available In Valencia Housing Society Lahore,House,"Valencia Housing Society, Lahore",92000000.0,5445.0,5.0,6.0,4.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Stunning 10 Marla Brand New Home Facing Park Bahria Town Opportunity,House,"Bahria Town - Sector C, Bahria Town",42500000.0,2722.5,5.0,6.0,,,2025.0,No,1,Yes,2,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"10 Marla Stylish & Well-Maintained Like Brand New House for Sale With 5 Bedrooms, Ideal for Families In Bahria Town Lahore.",House,"Bahria Town - Sector E, Bahria Town",32500000.0,2722.5,5.0,6.0,,2.0,2025.0,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Triple Storey 2 Marla House For Sale In Green Cap Housing Society Green Cap Housing Society,House,"Green Cap Housing Society, Lahore",6500000.0,544.5,3.0,3.0,,,2025.0,No,No,No,1,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes
10 Marla House For Sale DHA Phase 1 P Block Investment Opportunity,House,"DHA Phase 1 - Block P, DHA Phase 1",38000000.0,2722.5,4.0,5.0,2.0,,2025.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
BRAND NEW HOUSE FOR SALE IN DHA PHASE 5 NEAR TO JALAL SONS RAEDY TO MOVE IN BEST DEAL IN TOWN,House,"DHA Phase 5, DHA Defence",112500000.0,5445.0,5.0,6.0,4.0,2.0,2025.0,No,2,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 Marla Architect Designer house Near To park Original pictures attach,House,"Bahria Town - Gulmohar Block, Bahria Town - Sector C",32900000.0,2722.5,5.0,5.0,2.0,1.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3 Marla House For Sale In Shershah Colony - Raiwind Road,House,"Shershah Colony - Raiwind Road, Lahore",7500000.0,816.75,3.0,3.0,,,2025.0,Yes,No,Yes,2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Get In Touch Now To Buy A House In Lahore,House,"Palm Villas, Jubilee Town",12000000.0,816.75,4.0,4.0,,3.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
*Ultimate Luxury! 1-Bed Apartment With Private Swimming Pool Dive Into Luxury*,Flat,"Union Livings, Main Canal Bank Road",12300000.0,843.975,1.0,1.0,,,2025.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
INVEST IN YOUR DREAMS TOWNHOUSE A INVESTMENT THAT GROWS WITH YOU,House,"Pine Avenue, Lahore",7900000.0,1089.0,2.0,2.0,,,2025.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2-Kanal Brand New House for sale Block D Phase 6 DHA Lahore,House,"DHA Phase 6 - Block D, DHA Phase 6",400000000.0,10890.0,6.0,6.0,4.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 kanal House + 1 kanal Corner lawn Brand new Fully Furnished ideal location Faisal Rasool designe house Available for sale Walking Distance to raya Near To Park at very cheapest price one call deal inshallah,House,"DHA Phase 7 - Block Z, DHA Phase 7",89500000.0,10890.0,5.0,6.0,5.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3 Years Installments Plan 5 Marla Brand New House For Sale In Park View City,House,"Park View City, Lahore",17500000.0,1361.25,4.0,5.0,,,2025.0,No,No,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes
Al Rehman Garden Phase 2 Block L 10 Marla House For Sale,House,"Al Rehman Garden Phase 2, Al Rehman Garden",38000000.0,2722.5,5.0,5.0,2.0,2.0,2025.0,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
01 KANAL ULTRA MODERN TOPNOTCH LUXURY HOUSE AVAILABLE FOR SALE,House,"DHA Phase 6 - Block C, DHA Phase 6",83000000.0,5445.0,5.0,6.0,4.0,3.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Last One 10 Marla Modern Luxury Bungalow Available For Sale Near MacDonald & Raya Fairways,House,"DHA Phase 7, DHA Defence",39500000.0,2722.5,4.0,5.0,2.0,2.0,2025.0,No,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
urgent Sale 20 Marla 12 Year's Old House Available for sale 6 7 Bathroom 60 Feet Road only 499 lac,House,"Valencia Housing Society, Lahore",49900000.0,5445.0,6.0,7.0,4.0,2.0,2025.0,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
IDEAL LOCATION 2 KANAL FULLY FURNISHED HOUSE 6 BED AVAILABLE FOR SALE IN DHA PHASE 6,House,"DHA Phase 6, DHA Defence",480000000.0,10890.0,6.0,6.0,5.0,2.0,2025.0,Yes,1,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Luxury 5 Marla 3 Bedroom Modern House Available For Sale in DHA 9 Town Lahore,House,"DHA 9 Town, DHA Defence",28000000.0,1361.25,3.0,3.0,1.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 Marla Ultra Advance Modern Smart Features Designer Use House Available For Sale Meeting With Direct Owner,House,"Bahria Town - Overseas Enclave, Bahria Town",32500000.0,2722.5,5.0,6.0,,2.0,2025.0,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes
Luxurious 9 Year Old House For Sale With Full Basement,House,"DHA Phase 5 - Block C, DHA Phase 5",108500000.0,5445.0,6.0,7.0,4.0,3.0,2025.0,No,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 KANAL BEAUTIFUL HOUSE FOR SALE,House,"Wapda Town Phase 1, Wapda Town",107500000.0,5445.0,2.0,3.0,2.0,2.0,2025.0,Yes,1,Yes,1,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
12 Marla Apartment At Prime Location Of Askari 10. .,Flat,"Askari 10 - Sector S, Askari 10",49500000.0,3267.0,4.0,5.0,,,2025.0,No,1,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 Marla Luxurious Brand New Investor Rate House,House,"LDA Avenue, Lahore",32700000.0,2722.5,7.0,8.0,2.0,2.0,2025.0,No,1,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Brand New 1 Kanal House for Sale in DHA Phase 6 - Full Furnished (BEST DEAL IN TOWN),House,"DHA Phase 6, DHA Defence",83500000.0,5445.0,5.0,6.0,4.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
One Kanal Brand New Luxury Home | Full Basement | Private Pool | Prime 70 Ft Road | DHA Phase 5 | Near Jalal Sons,House,"DHA Phase 5, DHA Defence",116500000.0,5445.0,6.0,7.0,4.0,2.0,2025.0,No,2,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Prime Location 3 Marla Plus House Affordable Price,House,"Ferozepur Road, Lahore",7000000.0,816.75,2.0,2.0,,,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 KANAL FURNISHED HOUSE IS AVAILABLE FOR SALE IN VALENCIA TOWN HOUSING SOCIETY,House,"Valencia Housing Society, Lahore",85000000.0,5445.0,6.0,7.0,,3.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5 MARLA HOUSE FOR SALE IN VALENCIA TOWN LAHORE,House,"Valencia Housing Society, Lahore",26000000.0,1361.25,3.0,4.0,,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
BUY A 5 MARLA BRAND NEW MODERN DESIGN DOUBLE UNIT HOUSE IN DHA PHASE 11 RAHBAR SECTOR 2 LAHORE,House,"DHA 11 Rahbar Phase 2 Extension, DHA 11 Rahbar",24500000.0,1361.25,3.0,4.0,,2.0,2025.0,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5 MARLA BRAND NEW HOUSE IS AVAILABLE FOR SALE IN DHA PHASE 11 RAHBAR,House,"DHA 11 Rahbar Phase 2, DHA 11 Rahbar",23500000.0,1361.25,3.0,4.0,,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Al Rehman Garden Phase 2 Block K 7 Marla House For Sale,House,"Al Rehman Garden Phase 2, Al Rehman Garden",30000000.0,1905.75,5.0,5.0,1.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3 Years Installments Plan Brand New House For Sale In Park View City,House,"Park View City, Lahore",11500000.0,952.875,3.0,4.0,,,2025.0,No,No,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3 Years Installments Plan 5 Marla Brand New House For Sale In Park View City,House,"Park View City, Lahore",16000000.0,1361.25,4.0,5.0,,,2025.0,No,1,Yes,2,Yes,Yes,Yes,1,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
5-Marla Brand New House Al Rehman Garden Phase 2,House,"Al Rehman Phase 2 - Block P, Al Rehman Garden Phase 2",16500000.0,1361.25,3.0,3.0,1.0,1.5,2025.0,No,No,Yes,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Sector C 10 Marla House For Sale LDA Approved Nearby School, Mosque, Medical Store And All Commercial",House,"Bahria Town - Sector C, Bahria Town",27000000.0,2722.5,5.0,6.0,,2.0,2025.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2 Kanal Owner Built House With Basement Is Available For Sale In DHA Phase 1 Lahore Super Hot Location Near Big Park And Market,House,"DHA Phase 1 - Block M, DHA Phase 1",139900000.0,10890.0,6.0,6.0,7.0,3.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 Kanal Owner Build Modern Bungalow For Sale In Phase 3 DHA Prime Location,House,"DHA Phase 3, DHA Defence",78000000.0,5445.0,5.0,6.0,4.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 Marla Corner House For Sale In Gul Mohar Block Sector C Bahria Town Lahore,House,"Bahria Town - Sector C, Bahria Town",39000000.0,2722.5,5.0,6.0,3.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Brand New Furnished 1 Kanal Elegant And Fully Maintained Super Hot Located Bungalow Is Available In The Best Block Of DHA Lahore.,House,"DHA Phase 7 - Block U, DHA Phase 7",107500000.0,5445.0,5.0,6.0,,3.0,2025.0,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
SPANISH DESIGN 5 MARLA HOUSE FOR SALE NEAR PARK,House,"DHA 9 Town, DHA Defence",21200000.0,1361.25,3.0,3.0,1.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 MARLA HOUSE SLIGHTLY USED AND EXTRA ORDINARY SUPER LOCATION OF ALL BAHRIA ORCHARD,House,"Bahria Orchard, Lahore",43500000.0,2722.5,5.0,6.0,5.0,1.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
House Sized 1 Kanal In DHA Phase 7 - Block Y,House,"DHA Phase 7 - Block Y, DHA Phase 7",92500000.0,5445.0,5.0,6.0,2.0,,2025.0,No,2,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2.5 Marla House Is Available For Sale In Chungi Amar Sadhu,House,"Chungi Amar Sadhu, Lahore",4500000.0,680.625,3.0,3.0,2.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Well Maintained Beautiful 3-Bedrooms Apartment For Sale In Askari-11 Lahore,Flat,"Askari 11, Askari",26700000.0,2722.5,3.0,3.0,,,2025.0,No,1,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 MARLA BRAND NEW ULTRA MODERN HOUSE FOR SALE,House,"Lake City Meadows, Lahore",38500000.0,2722.5,4.0,5.0,2.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 MARLA BRAND NEW SPANISH DESIGN HOUSE AVAILABLE FOR SALE,House,"Lake City Meadows, Lahore",39500000.0,2722.5,4.0,5.0,2.0,2.0,2025.0,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 KANAL BRAND NEW MODERN DESIGN HOUSE IS AVAILABLE FOR SALE IN NESPAK PHASE 3 DEFENCE ROAD,House,"Nespak Scheme Phase 3, Defence Road",61500000.0,5445.0,7.0,8.0,3.0,3.0,2025.0,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 KANAL BRAND NEW MODERN HOUSE IN ENGINEERS TOWN IS AVAILABLE FOR SALE,House,"IEP Engineers Town, Lahore",62000000.0,5445.0,6.0,7.0,3.0,3.0,2025.0,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5 MARLA BRAND NEW NEWLY BUILD HOUSE IS FOR SALE IN DHA PHASE 11 RAHBAR SECTOR 2,House,"DHA 11 Rahbar Phase 2, DHA 11 Rahbar",22500000.0,1361.25,3.0,4.0,,3.0,2025.0,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3 Years Installments Plan Brand New House For Sale In Park View City,House,"Park View City, Lahore",11500000.0,952.875,3.0,4.0,,,2025.0,No,No,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
3 Years Installments Plan 10 Marla Brand New House For Sale In Park View City,House,"Park View City, Lahore",30000000.0,2722.5,5.0,6.0,,,2025.0,No,No,Yes,2,No,No,No,1,No,No,No,No,No,No,No,No,No,No,Yes,No,No
3 Years Installments Plan 5 Marla Brand New House For Sale In Park View City,House,"Park View City, Lahore",17500000.0,1361.25,5.0,6.0,,,2025.0,No,No,Yes,2,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
3 Years Installments Plan 5 Marla Brand New House For Sale In Park View City,House,"Park View City, Lahore",17500000.0,1361.25,4.0,5.0,3.0,,2025.0,No,1,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
A Luxury Appartment Near Defence Raya In Reasonable Price,Flat,"DHA Phase 6, DHA Defence",18500000.0,1824.075,2.0,3.0,,,2025.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"1 Kanal Owner-Built House for Sale in DHA Phase 6, Sector B Near to Dolmen Mall & Ring Road",House,"DHA Phase 6 - Block B, DHA Phase 6",81000000.0,5445.0,5.0,6.0,3.0,2.0,2025.0,No,1,Yes,2,No,No,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No
5 Marla Brand New Luxury House In Prime Location Of 9 Town For Sale,House,"DHA 9 Town, DHA Defence",23000000.0,1361.25,3.0,4.0,2.0,2.0,2025.0,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
