Card Title,Property Type,Location,Price_numeric,Area_sqft,Bedrooms,Bathrooms,Parking Spaces,Floors,Year,Furnished,Servant Quarters,Dining Room,Kitchens,Study Room,Prayer Room,Gym,Store Rooms,Lounge or Sitting Room,Laundry Room,Community Lawn or Garden,Community Gym,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Security Staff,Kids Play Area,Community Swimming Pool,Mosque
5-Marla Brand New House DHA Phase 6 Block E,House,"DHA Phase 6 - Block E Extension, DHA Phase 6",22500000.0,1361.25,3.0,4.0,1.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5-Marla Brand New House Al Rehman Garden Phase 2,House,"Al Rehman Phase 2 - Block F, Al Rehman Garden Phase 2",23000000.0,1361.25,5.0,5.0,1.0,2.0,2025.0,No,No,Yes,2,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Corner Fully Spanish Brand New Marla Double Storey House For Sale In Best Location All Facilities Available In Society,House,"AWT Phase 2, AWT Army Welfare Trust",32000000.0,2722.5,6.0,7.0,,2.0,2025.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Barnd Now 10 Marla With Basement 8kw Solar Modern Design House For Sale In Lake City Lahore,House,"Lake City - Sector M-2A, Lake City",57000000.0,2722.5,5.0,6.0,,2.0,2025.0,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10-Marla Spanish Design House For Sale At Super Hot Location Near Jalal Sons,House,"DHA Phase 5, DHA Defence",57500000.0,2722.5,4.0,5.0,2.0,2.0,2025.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 Marla Used Used Well Maintained House Available For Sale,House,"Paragon City - Orchard 1 Block, Paragon City",39500000.0,2722.5,4.0,5.0,2.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Near To Mosque & On 45 Feet Wide Road 5 Marla Renovated House For Sale In Lake City Raiwind Road Lahore,House,"Lake City, Raiwind Road",19000000.0,1361.25,3.0,4.0,,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Prime Location & Near To Ring Road 10 Marla Brand New House For Sale In Lake City Raiwind Road Lahore,House,"Lake City, Raiwind Road",70500000.0,5445.0,7.0,7.0,,2.0,2025.0,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 Kanal Near To Park Brand New House For Sale In Sector M-1 Lake City Raiwind Road Lahore,House,"Lake City, Raiwind Road",65000000.0,5445.0,6.0,6.0,,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Near To Park 1 Kanal Brand New House For Sale In Sector M-3 Lake City Raiwind Road Lahore,House,"Lake City, Raiwind Road",95000000.0,5445.0,6.0,7.0,,2.0,2025.0,No,1,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Discover Luxury Living In This Meticulously Designed 2 Kanal House In DHA Phase 7, Near RAYA Fairways, Solid Build, Hot Location.",House,"DHA Phase 7, DHA Defence",119900000.0,10890.0,7.0,8.0,6.0,3.0,2025.0,Yes,5,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ultra Luxury Design 10 Marla Brand New Villa For Sale In Near Defence Raya Fair Ways,House,"DHA Phase 7, DHA Defence",38900000.0,2722.5,4.0,5.0,2.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3 Beds 5 Marla Ideal Location House For Sale In Paragon City Barki Road Lahore,House,"Paragon City, Lahore",18500000.0,1361.25,3.0,3.0,1.0,1.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
A House At Affordable Price Awaits You,House,"Paragon City - Imperial 1 Block, Paragon City",47500000.0,2722.5,4.0,5.0,2.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5 Marla House For Sale In DHA Lahore,House,"DHA 9 Town, DHA Defence",21500000.0,1361.25,3.0,4.0,1.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Land Expert Pvt. Ltd. Customized A+ Construction Delivered In 5 Months,House,"Park View City - Tulip Overseas, Park View City",16000000.0,1361.25,4.0,4.0,,2.0,2025.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 KANAL BRAND NEW ULTRA MODERN BUNGALOW FOR SALE,House,"DHA Phase 7, DHA Defence",74500000.0,5445.0,5.0,6.0,4.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Buy A House Of 5 Marla In Lake City - Sector M-7A,House,"Lake City - Sector M-7A, Lake City",30000000.0,1361.25,4.0,4.0,2.0,2.0,2025.0,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hot Location House 2 Side Open Available For Sale,House,"Faisal Town - Block D, Faisal Town",14700000.0,816.75,3.0,3.0,1.0,2.0,2025.0,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11 Marla Out Class Location House Available For Sale,House,"Faisal Town - Block A, Faisal Town",35800000.0,2994.75,4.0,5.0,2.0,2.0,2025.0,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Fully Furnished 1 Kanal Home A Perfect Blend Of Luxury And Comfort Near DOLMEN MALL Top Location Facing Park Solid Build In DHA Phase 6 At Reasonable Price,House,"DHA Phase 6, DHA Defence",84200000.0,5445.0,5.0,6.0,4.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Fully Furnished 23 Marla House In DHA Phase 7, Near RAYA Fairways, Solid Build, Hot Location",House,"DHA Phase 7, DHA Defence",69900000.0,5445.0,6.0,7.0,4.0,2.0,2025.0,Yes,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 Kanal Beautifully Designed House Near All Facilities,House,"EME Society, Lahore",87500000.0,5445.0,4.0,6.0,4.0,2.0,2025.0,No,1,Yes,2,No,No,No,2,Yes,No,No,No,No,No,No,No,No,No,No,No,No
10 Marla Top location owner Build House For Sale In Punjab coop housing society Near DHA phase 4,House,"Punjab Coop Housing - Block E, Punjab Coop Housing Society",36500000.0,2722.5,4.0,5.0,3.0,2.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5 Marla Luxury House For Sale In Park View City Lahore,House,"Park View City, Lahore",17500000.0,1361.25,4.0,5.0,1.0,3.0,2025.0,No,1,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Slightly Use Modern 5 Marla Villa For Sale Safari Villas Bahria Town Lahore,House,"Bahria Town - Safari Villas, Bahria Town - Sector B",15000000.0,1361.25,2.0,2.0,7.0,2.0,2025.0,Yes,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10 MARLA 5 BED HOUSE FOR SALE,House,"Wapda Town Phase 1 - Block J2, Wapda Town Phase 1",35000000.0,2722.5,5.0,6.0,2.0,3.0,2025.0,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"A Brand New Elegant Modern Bungalow, Near Macdonalds For Sale",House,"DHA Phase 7, DHA Defence",87000000.0,5445.0,5.0,6.0,4.0,2.0,2025.0,No,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Decent Ultra Modern House For At Very Reasonable Price In DHA Lahore,House,"DHA Phase 6, DHA Defence",97500000.0,5445.0,5.0,6.0,4.0,2.0,2025.0,No,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 Kanal House 1 Kanal Lawn Fully Furnished Luxury Bungalow for Sale,House,"DHA Phase 7, DHA Defence",310000000.0,10890.0,5.0,6.0,4.0,2.0,2025.0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
